All Finished Orders
-------------------
N	TF	ID	TQ	TA	TR	TS	TI	TC	Tw	Tserv
1-	2689	198	365	365	367	2644	2277	2	2279	45
2-	2678	200	370	370	371	2644	2273	1	2274	34
3-	2647	186	350	350	352	2576	2224	2	2226	71
4-	2633	196	365	365	366	2622	2256	1	2257	11
5-	2624	190	355	355	357	2594	2237	2	2239	30
6-	2608	182	345	345	347	2556	2209	2	2211	52
7-	2593	188	355	355	356	2584	2228	1	2229	9
8-	2577	184	350	350	351	2560	2209	1	2210	17
9-	2556	178	340	340	342	2528	2186	2	2188	28
10-	2552	176	340	340	341	2528	2187	1	2188	24
11-	2549	180	345	345	346	2538	2192	1	2193	11
12-	2526	174	335	335	337	2496	2159	2	2161	30
13-	2524	172	335	335	336	2494	2158	1	2159	30
14-	2523	170	330	330	332	2478	2146	2	2148	45
15-	2480	168	330	330	331	2464	2133	1	2134	16
16-	2479	166	325	325	327	2450	2123	2	2125	29
17-	2463	162	320	320	322	2422	2100	2	2102	41
18-	2454	164	325	325	326	2444	2118	1	2119	10
19-	2448	154	310	310	312	2380	2068	2	2070	68
20-	2416	158	315	315	317	2388	2071	2	2073	28
21-	2409	160	320	320	321	2400	2079	1	2080	9
22-	2404	156	315	315	316	2386	2070	1	2071	18
23-	2390	152	310	310	311	2368	2057	1	2058	22
24-	2383	139	290	290	291	2352	2061	1	2062	31
25-	2362	109	240	240	241	2330	2089	1	2090	32
26-	2358	124	265	265	266	2348	2082	1	2083	10
27-	2350	96	220	220	222	2286	2064	2	2066	64
28-	2319	98	225	225	227	2290	2063	2	2065	29
29-	2310	100	230	230	231	2290	2059	1	2060	20
30-	2304	92	210	210	213	2242	2029	3	2032	62
31-	2276	94	215	215	216	2266	2050	1	2051	10
32-	2270	86	195	195	198	2170	1972	3	1975	100
33-	2248	88	200	200	201	2172	1971	1	1972	76
34-	2199	90	205	205	207	2176	1969	2	1971	23
35-	2198	84	190	190	192	2164	1972	2	1974	34
36-	2195	82	185	185	187	2152	1965	2	1967	43
37-	2153	80	180	180	181	2134	1953	1	1954	19
38-	2143	78	175	175	176	2112	1936	1	1937	31
39-	2135	76	170	170	173	2046	1873	3	1876	89
40-	2097	72	160	160	162	2032	1870	2	1872	65
41-	2090	74	165	165	166	2040	1874	1	1875	50
42-	2038	70	155	155	156	2030	1874	1	1875	8
43-	2036	68	150	150	151	2024	1873	1	1874	12
44-	2029	66	145	145	147	1982	1835	2	1837	47
45-	2018	64	140	140	141	1978	1837	1	1838	40
46-	2002	62	135	135	137	1964	1827	2	1829	38
47-	1977	60	130	130	131	1942	1811	1	1812	35
48-	1949	58	125	125	126	1940	1814	1	1815	9
49-	1949	54	115	115	117	1920	1803	2	1805	29
50-	1936	48	100	100	102	1870	1768	2	1770	66
51-	1933	56	120	120	121	1922	1801	1	1802	11
52-	1902	52	110	110	111	1884	1773	1	1774	18
53-	1898	42	85	85	88	1822	1734	3	1737	76
54-	1892	46	95	95	97	1862	1765	2	1767	30
55-	1890	50	105	105	106	1872	1766	1	1767	18
56-	1840	44	90	90	91	1828	1737	1	1738	12
57-	1835	38	75	75	77	1778	1701	2	1703	57
58-	1834	36	70	70	72	1776	1704	2	1706	58
59-	1818	40	80	80	81	1808	1727	1	1728	10
60-	1788	34	65	65	66	1764	1698	1	1699	24
61-	1783	32	60	60	62	1758	1696	2	1698	25
62-	1774	30	55	55	57	1730	1673	2	1675	44
63-	1730	26	45	45	47	1654	1607	2	1609	76
64-	1714	28	50	50	54	1664	1610	4	1614	50
65-	1706	18	25	25	28	1576	1548	3	1551	130
66-	1640	24	40	40	42	1598	1556	2	1558	42
67-	1620	22	35	35	37	1596	1559	2	1561	24
68-	1601	20	30	30	31	1586	1555	1	1556	15
69-	1599	12	10	10	11	1538	1527	1	1528	61
70-	1568	16	20	20	21	1540	1519	1	1520	28
71-	1568	14	15	15	17	1538	1521	2	1523	30
72-	1551	199	370	370	373	1478	1105	3	1108	73
73-	1526	10	5	5	6	1514	1508	1	1509	12
74-	1519	6	2	2	4	1482	1478	2	1480	37
75-	1495	191	360	360	363	1424	1061	3	1064	71
76-	1491	197	365	365	367	1434	1067	2	1069	57
77-	1436	193	360	360	361	1420	1059	1	1060	16
78-	1436	183	350	350	353	1366	1013	3	1016	70
79-	1406	179	345	345	348	1364	1016	3	1019	42
80-	1386	175	340	340	342	1314	972	2	974	72
81-	1380	181	345	345	347	1356	1009	2	1011	24
82-	1349	177	340	340	341	1308	967	1	968	41
83-	1329	171	335	335	338	1272	934	3	937	57
84-	1291	173	335	335	337	1224	887	2	889	67
85-	1289	167	330	330	333	1220	887	3	890	69
86-	1241	169	330	330	332	1192	860	2	862	49
87-	1232	163	325	325	328	1192	864	3	867	40
88-	1202	161	320	320	322	1152	830	2	832	50
89-	1185	159	320	320	322	1148	826	2	828	37
90-	1174	165	325	325	326	1156	830	1	831	18
91-	1167	155	315	315	317	1142	825	2	827	25
92-	1146	157	315	315	316	1132	816	1	817	14
93-	1140	153	310	310	311	1110	799	1	800	30
94-	1122	145	300	300	302	1062	760	2	762	60
95-	1115	151	310	310	311	1100	789	1	790	15
96-	1098	130	275	275	278	1060	782	3	785	38
97-	1082	99	230	230	232	1032	800	2	802	50
98-	1072	115	250	250	252	1032	780	2	782	40
99-	1043	97	225	225	226	1026	800	1	801	17
100-	1027	93	215	215	217	958	741	2	743	69
101-	1020	95	220	220	222	960	738	2	740	60
102-	982	89	205	205	207	952	745	2	747	30
103-	976	91	210	210	211	954	743	1	744	22
104-	964	87	200	200	202	936	734	2	736	28
105-	941	83	190	190	191	904	713	1	714	37
106-	935	85	195	195	196	916	720	1	721	19
107-	912	81	185	185	187	888	701	2	703	24
108-	904	79	180	180	182	868	686	2	688	36
109-	884	73	165	165	167	818	651	2	653	66
110-	874	77	175	175	177	844	667	2	669	30
111-	850	75	170	170	171	832	661	1	662	18
112-	843	71	160	160	162	756	594	2	596	87
113-	788	63	140	140	143	704	561	3	564	84
114-	786	69	155	155	157	748	591	2	593	38
115-	770	67	150	150	153	722	569	3	572	48
116-	730	65	145	145	146	716	570	1	571	14
117-	729	61	135	135	137	684	547	2	549	45
118-	713	59	130	130	132	678	546	2	548	35
119-	699	57	125	125	126	660	534	1	535	39
